City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Panama City,8.9936,-79.5197,83.43,87,100,5.88,PA,1624133377
Sampit,-2.5333,112.95,73.0,100,100,1.3,ID,1624133651
Puerto Madryn,-42.7692,-65.0385,46.58,67,5,19.71,AR,1624133393
Burnie,-41.0667,145.9167,45.88,85,10,5.5,AU,1624133651
Zdvinsk,54.7021,78.661,46.85,85,95,7.4,RU,1624133652
São Filipe,14.8961,-24.4956,73.69,79,1,9.26,CV,1624133368
Lagoa,39.05,-27.9833,67.23,93,1,16.67,PT,1624133652
Santa Cruz de la Sierra,-17.8,-63.1667,55.45,71,75,13.8,BO,1624133522
Atar,20.5169,-13.0499,92.41,13,0,12.41,MR,1624133652
Portel,-1.9356,-50.8211,81.68,77,94,5.82,BR,1624133653
Elko,41.0002,-115.5012,95.74,7,1,7.0,US,1624133653
Aswān,24.0934,32.907,88.27,10,2,11.83,EG,1624133653
Husavik,66.0449,-17.3389,42.66,84,68,8.75,IS,1624133653
Tocopilla,-22.092,-70.1979,68.25,62,27,3.24,CL,1624133654
Murgab,37.4966,61.9714,82.27,26,0,9.22,TM,1624133654
Vestmannaeyjar,63.4427,-20.2734,47.52,73,61,17.76,IS,1624133654
Nicoya,10.1483,-85.452,85.55,66,71,3.8,CR,1624133654
Basco,20.4487,121.9702,83.75,84,100,28.25,PH,1624133655
Florianópolis,-27.6146,-48.5012,63.63,94,75,10.36,BR,1624133655
Balingasay,16.3573,119.8564,82.85,78,97,9.82,PH,1624133655
Makīnsk,52.6292,70.4169,47.91,66,91,6.22,KZ,1624133655
Morros,-9.4467,-46.3003,88.52,31,51,6.4,BR,1624133656
Garautha,25.5667,79.3,85.23,64,100,12.68,IN,1624133656
Mogadouro,41.3403,-6.7119,61.79,68,94,8.68,PT,1624133656
Ormara,25.2088,64.6357,83.25,79,27,10.94,PK,1624133656
Qiyang,26.5911,111.8474,71.8,95,100,2.26,CN,1624133657
Yar-Sale,66.8333,70.8333,44.42,78,87,8.97,RU,1624133657
Macklin,52.3334,-109.9348,64.51,58,79,14.18,CA,1624133551
Dubbo,-32.25,148.6167,41.13,87,6,10.36,AU,1624133657
Saint Stephen,50.3333,-4.9,56.16,94,98,16.11,GB,1624133657
Zhongshu,24.5167,103.7667,64.27,90,97,6.93,CN,1624133658
Waverly,42.7392,-84.6208,82.0,73,75,3.44,US,1624133658
Jensen Beach,27.2545,-80.2298,93.09,70,40,5.99,US,1624133658
Armação de Pêra,37.1026,-8.357,67.91,71,57,13.67,PT,1624133659
Bǝrdǝ,40.3744,47.1267,80.2,37,0,8.52,AZ,1624133659
Salalah,17.0151,54.0924,80.69,89,75,6.91,OM,1624133659
Nouadhibou,20.931,-17.0347,68.22,75,0,26.44,MR,1624133659
Gilbués,-9.8317,-45.3439,88.66,30,32,6.2,BR,1624133660
Manturovo,58.3353,44.7619,64.92,76,5,6.29,RU,1624133660
Zhangaözen,43.3,52.8,79.99,23,0,22.97,KZ,1624133660
Nagato,34.3833,131.2,62.2,86,77,3.11,JP,1624133660
Vestmanna,62.1564,-7.1664,47.32,100,75,9.22,FO,1624133660
Rāmhormoz,31.28,49.6035,96.71,9,0,6.87,IR,1624133661
Nova Olímpia,-14.7972,-57.2881,89.01,28,2,2.1,BR,1624133661
Kailua,21.4022,-157.7394,83.07,62,20,11.5,US,1624133661
Chowchilla,37.123,-120.2602,112.77,16,1,6.91,US,1624133607
Beidao,34.5686,105.8933,65.73,39,100,1.72,CN,1624133662
Keti Bandar,24.1447,67.4497,83.95,72,100,15.75,PK,1624133662
Bumba,2.1833,22.4667,73.42,80,100,2.53,CD,1624133662
Sozimskiy,59.7418,52.2482,65.89,58,8,11.34,RU,1624133662
Danilov,58.1908,40.1717,65.61,83,8,5.91,RU,1624133663
Northam,51.0333,-4.2167,58.6,85,72,9.1,GB,1624133663
Tsimmerbude,54.675,20.1347,71.65,76,1,5.44,RU,1624133663
Arrondissement de Foix,42.8333,1.5833,62.01,93,60,4.65,FR,1624133663
Semey,50.4111,80.2275,51.67,76,100,12.06,KZ,1624133664
Thessalon,46.2501,-83.5666,70.09,55,0,14.94,CA,1624133664
Nanga Eboko,4.6833,12.3667,68.9,96,19,1.99,CM,1624133664
Kefamenanu,-9.4467,124.4781,70.25,94,98,3.42,ID,1624133664
Lat Yao,15.751,99.7893,81.28,77,92,4.83,TH,1624133665
Monterey,36.2505,-121.2516,66.4,16,0,3.31,US,1624133665
Siliguri,26.7,88.4333,75.38,98,100,8.7,IN,1624133665
Vila Franca do Campo,37.7167,-25.4333,68.41,86,43,10.54,PT,1624133665
Kuytun,54.3419,101.5036,56.66,87,20,3.06,RU,1624133666
San Matías,-16.3667,-58.4,81.18,41,60,5.73,BO,1624133666
Bariloche,-41.1456,-71.3082,42.55,56,0,18.41,AR,1624133430
Midyat,37.4247,41.3393,80.83,22,0,6.91,TR,1624133666
Itarema,-2.9248,-39.9167,80.96,75,44,12.21,BR,1624133666
Il’inskiy,55.619,38.1182,73.98,60,0,2.24,RU,1624133667
São Francisco de Assis,-29.5503,-55.1311,55.47,88,85,6.76,BR,1624133667
Sitka,57.0531,-135.33,66.09,48,20,8.05,US,1624133667
Guerrero Negro,27.9769,-114.0611,72.36,61,6,19.77,MX,1624133667
Prince Rupert,54.3161,-130.3201,61.43,67,74,4.12,CA,1624133668
Liverpool,53.4106,-2.9779,63.82,66,95,5.01,GB,1624133261
Kabare,-2.4683,28.8242,59.56,94,97,0.96,CD,1624133668
Wanaka,-44.7,169.15,36.1,98,32,5.01,NZ,1624133668
Kibala,9.1104,18.3463,75.83,78,84,3.27,TD,1624133668
Mandiana,10.6333,-8.6833,80.06,69,68,1.74,GN,1624133669
Mogadishu,2.0371,45.3438,77.83,82,100,17.58,SO,1624133669
Qaqortoq,60.7167,-46.0333,52.3,79,100,5.93,GL,1624133669
Parabel',58.6978,81.4825,43.93,82,100,9.17,RU,1624133670
Muravlenko,63.7898,74.523,45.68,77,40,9.42,RU,1624133670
Janakkala,60.9,24.6,69.04,78,2,6.15,FI,1624133670
Faya,18.3851,42.4509,70.32,24,91,2.24,SA,1624133670
Longyan,25.1072,117.0225,76.6,91,100,2.48,CN,1624133671
Kohlu,29.8962,69.252,84.0,32,2,7.63,PK,1624133671
Naze,28.3667,129.4833,74.7,82,100,7.23,JP,1624133671
Ternate,0.8,127.4,79.2,80,81,2.13,ID,1624133671
Fairbanks,64.8378,-147.7164,66.22,71,75,4.61,US,1624133478
Wattegama,6.7989,81.4808,76.55,82,99,1.23,LK,1624133672
Băuţar,45.5167,22.5667,59.77,93,93,4.09,RO,1624133672
Senanga,-16.1167,23.2667,58.75,46,0,6.44,ZM,1624133672
Baní,18.2833,-70.3333,89.04,61,94,16.53,DO,1624133672
Zabul Province,32.25,67.25,69.91,9,0,7.58,AF,1624133673
Yantongshan,43.2919,126.0094,56.59,94,100,3.15,CN,1624133673
Campbell River,50.0163,-125.2446,65.59,69,100,2.04,CA,1624133673
Richards Bay,-28.783,32.0377,62.28,77,0,7.63,ZA,1624133673
Margate,51.3813,1.3862,58.71,95,100,3.0,GB,1624133674
Ihosy,-22.4,46.1167,59.18,87,56,14.27,MG,1624133674
El Vigia,8.6219,-71.6506,91.22,56,40,4.79,VE,1624133674
Mount Gambier,-37.8333,140.7667,50.86,66,100,1.1,AU,1624133674
Saint-François,46.4154,3.9054,63.84,94,75,3.44,FR,1624133675
Yanta,36.2411,115.6672,75.96,54,86,7.29,CN,1624133675
San Francisco,37.7749,-122.4194,99.37,70,20,3.0,US,1624133077
Kautokeino,69.0125,23.0412,52.11,59,100,8.68,NO,1624133675
Nishihara,26.1842,127.7558,80.26,89,75,13.8,JP,1624133675
Lárdos,36.0942,28.0157,75.94,77,0,10.56,GR,1624133676
Trincomalee,8.5711,81.2335,81.25,76,100,16.15,LK,1624133676
Okhotsk,59.3833,143.3,54.72,66,51,14.07,RU,1624133676
Pulaski,34.7668,-92.3001,94.24,55,40,5.75,US,1624133405
Tura,25.5198,90.2201,72.0,97,100,4.54,IN,1624133676
Honiara,-9.4333,159.95,76.59,84,46,2.95,SB,1624133677
Shaowu,27.3409,117.4831,75.45,98,100,2.64,CN,1624133677
Owando,-0.4819,15.8999,80.89,56,76,1.81,CG,1624133677
Kandrian,-6.2167,149.55,76.68,88,76,8.28,PG,1624133677
Usinsk,65.9939,57.5281,37.6,91,100,36.95,RU,1624133678
Sotik Post,-0.7813,35.3416,55.29,95,100,6.04,KE,1624133678
Kumul,42.8,93.45,78.24,18,63,1.34,CN,1624133614
Korsholm,63.1142,21.6822,67.23,77,0,4.61,FI,1624133678
San Quintín,30.4833,-115.95,71.58,67,1,15.41,MX,1624133679
Malakal,9.5334,31.6605,73.53,82,90,5.66,SS,1624133679
Cubulco,15.1333,-90.5833,80.53,63,100,2.64,GT,1624133679
Moree,-29.4667,149.85,46.8,85,1,7.52,AU,1624133679
Kargasok,59.0556,80.8572,43.38,83,100,9.24,RU,1624133679
High Level,58.5169,-117.136,65.5,32,0,11.83,CA,1624133680
Xaçmaz,41.4635,48.806,73.04,50,0,3.8,AZ,1624133680
Praia,14.9215,-23.5087,75.74,69,20,21.85,CV,1624133680
Nyurba,63.2842,118.3319,64.51,70,53,3.44,RU,1624133680
Bouna,9.2667,-3.0,83.39,51,86,1.52,CI,1624133681
Nelson Bay,-32.7167,152.15,57.11,93,90,5.01,AU,1624133408
Olinda,-8.0089,-34.8553,71.33,88,75,9.22,BR,1624133681
Biankouma,7.7391,-7.6138,70.54,97,91,1.41,CI,1624133681
Bairnsdale,-37.8333,147.6167,47.07,97,82,2.24,AU,1624133682
Lata,40.1629,-8.3327,62.04,90,96,4.41,PT,1624133682
Kuito,-12.3833,16.9333,54.45,37,6,0.11,AO,1624133682
Hualmay,-11.0964,-77.6139,69.44,74,55,10.38,PE,1624133682
Comodoro Rivadavia,-45.8667,-67.5,48.06,46,0,12.66,AR,1624133683
Khovd,48.0056,91.6419,65.95,42,100,5.23,MN,1624133683
Kirkkonummi,60.1238,24.4385,70.18,81,0,6.53,FI,1624133683
Villa Unión,23.2,-106.2333,89.56,62,90,12.66,MX,1624133683
Porto Santo,33.072,-16.3415,69.3,60,20,12.66,PT,1624133684
Kitimat,54.0524,-128.6534,65.91,64,67,0.47,CA,1624133684
Riachão do Dantas,-11.0689,-37.725,74.12,73,1,8.63,BR,1624133684
Hokitika,-42.7167,170.9667,45.84,81,6,7.83,NZ,1624133684
Nālūt,30.3333,10.85,95.09,13,1,7.85,LY,1624133685
Astoria,46.1879,-123.8313,76.08,70,1,3.0,US,1624133685
Itaporanga,-7.3044,-38.1503,83.39,44,99,9.31,BR,1624133685
Coronel Vivida,-25.9797,-52.5678,54.05,99,100,6.44,BR,1624133685
Merrill,45.1805,-89.6835,75.81,52,90,5.75,US,1624133686
Fitjar,59.9184,5.3192,57.42,77,100,13.22,NO,1624133686
Yatou,37.15,122.3833,70.29,73,100,10.58,CN,1624133686
Saraland,30.8207,-88.0706,82.65,83,63,12.88,US,1624133666
Khudāganj,28.15,79.7167,78.17,84,99,4.85,IN,1624133686
Dandong,40.1292,124.3947,58.73,92,33,2.98,CN,1624133687
Makakilo City,21.3469,-158.0858,81.61,57,75,9.22,US,1624133687
Mali,12.079,-12.2982,69.98,67,51,4.61,GN,1624133687
Impfondo,1.6381,18.0667,77.22,71,59,1.81,CG,1624133687
Aksu,41.1231,80.2644,73.42,28,0,5.44,CN,1624133688
Palana,59.1167,159.9667,43.74,71,85,9.46,RU,1624133688
Kamsack,51.5667,-101.9009,63.63,64,100,11.65,CA,1624133688
Stornoway,58.2093,-6.3865,57.16,77,94,5.75,GB,1624133688
Sungai Penuh,-2.0833,101.3833,62.53,97,92,1.19,ID,1624133689
Thinadhoo,0.5333,72.9333,83.73,72,100,11.88,MV,1624133689
Anadyr,64.75,177.4833,44.01,65,59,4.0,RU,1624133689
Powell,40.1578,-83.0752,82.47,63,40,7.0,US,1624133421
Calabozo,8.9242,-67.4293,88.59,53,80,4.38,VE,1624133689
Imbituba,-28.24,-48.6703,62.49,97,100,18.16,BR,1624133690
Saquarema,-22.92,-42.5103,71.64,79,36,19.24,BR,1624133690
Söderhamn,61.3037,17.0592,52.03,92,96,8.5,SE,1624133690
Mahibadhoo,3.7833,72.9667,83.25,72,100,14.41,MV,1624133690
Bida,9.0833,6.0167,82.51,65,99,2.33,NG,1624133691
Bukachacha,52.9833,116.9167,51.48,98,100,4.63,RU,1624133691
Cidreira,-30.1811,-50.2056,59.25,94,100,13.24,BR,1624133691
Goulburn,-34.75,149.7167,37.65,86,5,7.67,AU,1624133691
Rūdbār,30.15,62.6,87.31,10,0,9.24,AF,1624133692
Nemuro,43.3236,145.575,48.58,95,100,8.77,JP,1624133692
Soe,-9.8607,124.284,65.16,93,62,4.23,ID,1624133692
Windsor,42.3001,-83.0165,79.02,79,75,6.91,CA,1624133628
Da Lat,11.9465,108.4419,59.79,98,57,2.86,VN,1624133692
Cockburn Town,21.4612,-71.1419,81.03,84,100,18.1,TC,1624133693
Broken Hill,-31.95,141.4333,43.34,88,0,8.7,AU,1624133693
Lapua,62.9693,23.0088,69.48,95,52,2.42,FI,1624133693
Acaraú,-2.8856,-40.12,81.07,76,47,10.89,BR,1624133486
Moen,69.1304,18.6123,50.72,62,100,3.44,NO,1624133694
Koumac,-20.5667,164.2833,71.58,83,87,5.48,NC,1624133694
Soria,41.6667,-2.6667,55.63,54,8,6.49,ES,1624133694
Grajaú,-5.8194,-46.1386,86.27,54,90,6.89,BR,1624133694
Trairi,-3.2778,-39.2689,80.26,75,38,11.1,BR,1624133695
Baker City,44.7749,-117.8344,84.94,27,1,11.5,US,1624133695
Longonjo,-12.9067,15.2533,59.81,37,6,3.53,AO,1624133695
Pozoblanco,38.3791,-4.8483,68.58,45,9,5.64,ES,1624133695
Laguna,38.421,-121.4238,109.65,20,1,4.0,US,1624133696
Kaohsiung City,22.6163,120.3133,79.03,95,100,1.99,TW,1624133696
